,county_name,county_fips,year,party,candidatevotes,totalvotes
0,ALACHUA,12001.0,2000,DEMOCRAT,47365.0,85729
1,BAKER,12003.0,2000,REPUBLICAN,5610.0,8154
2,BAY,12005.0,2000,REPUBLICAN,38637.0,58805
3,BRADFORD,12007.0,2000,REPUBLICAN,5414.0,8673
4,BREVARD,12009.0,2000,REPUBLICAN,115185.0,218395
5,BROWARD,12011.0,2000,DEMOCRAT,387703.0,575143
6,CALHOUN,12013.0,2000,REPUBLICAN,2873.0,5174
7,CHARLOTTE,12015.0,2000,REPUBLICAN,35426.0,66896
8,CITRUS,12017.0,2000,REPUBLICAN,29767.0,57206
9,CLAY,12019.0,2000,REPUBLICAN,41736.0,57353
10,COLLIER,12021.0,2000,REPUBLICAN,60450.0,92162
11,COLUMBIA,12023.0,2000,REPUBLICAN,10964.0,18508
12,DESOTO,12027.0,2000,REPUBLICAN,4256.0,7817
13,DIXIE,12029.0,2000,REPUBLICAN,2697.0,4666
14,DUVAL,12031.0,2000,REPUBLICAN,152098.0,264636
15,ESCAMBIA,12033.0,2000,REPUBLICAN,73017.0,116648
16,FLAGLER,12035.0,2000,DEMOCRAT,13897.0,27111
17,FRANKLIN,12037.0,2000,REPUBLICAN,2454.0,4644
18,GADSDEN,12039.0,2000,DEMOCRAT,9735.0,14727
19,GILCHRIST,12041.0,2000,REPUBLICAN,3300.0,5395
20,GLADES,12043.0,2000,REPUBLICAN,1841.0,3365
21,GULF,12045.0,2000,REPUBLICAN,3550.0,6144
22,HAMILTON,12047.0,2000,REPUBLICAN,2146.0,3964
23,HARDEE,12049.0,2000,REPUBLICAN,3765.0,6233
24,HENDRY,12051.0,2000,REPUBLICAN,4747.0,8139
25,HERNANDO,12053.0,2000,DEMOCRAT,32644.0,65219
26,HIGHLANDS,12055.0,2000,REPUBLICAN,20206.0,35149
27,HILLSBOROUGH,12057.0,2000,REPUBLICAN,180760.0,360295
28,HOLMES,12059.0,2000,REPUBLICAN,5011.0,7395
29,INDIAN RIVER,12061.0,2000,REPUBLICAN,28635.0,49622
30,JACKSON,12063.0,2000,REPUBLICAN,9138.0,16300
31,JEFFERSON,12065.0,2000,DEMOCRAT,3041.0,5644
32,LAFAYETTE,12067.0,2000,REPUBLICAN,1670.0,2505
33,LAKE,12069.0,2000,REPUBLICAN,50010.0,88611
34,LEE,12071.0,2000,REPUBLICAN,106141.0,184377
35,LEON,12073.0,2000,DEMOCRAT,61427.0,103124
36,LEVY,12075.0,2000,REPUBLICAN,6858.0,12724
37,LIBERTY,12077.0,2000,REPUBLICAN,1317.0,2410
38,MADISON,12079.0,2000,REPUBLICAN,3038.0,6162
39,MANATEE,12081.0,2000,REPUBLICAN,57952.0,110221
40,MARION,12083.0,2000,REPUBLICAN,55141.0,102956
41,MARTIN,12085.0,2000,REPUBLICAN,33970.0,62013
42,MIAMI-DADE,12086.0,2000,DEMOCRAT,328808.0,625449
43,MONROE,12087.0,2000,DEMOCRAT,16483.0,33896
44,NASSAU,12089.0,2000,REPUBLICAN,16404.0,23780
45,OKALOOSA,12091.0,2000,REPUBLICAN,52093.0,70680
46,OKEECHOBEE,12093.0,2000,REPUBLICAN,5057.0,9853
47,ORANGE,12095.0,2000,DEMOCRAT,140220.0,280125
48,OSCEOLA,12097.0,2000,DEMOCRAT,28181.0,55659
49,PALM BEACH,12099.0,2000,DEMOCRAT,269732.0,433186
50,PASCO,12101.0,2000,DEMOCRAT,69564.0,142731
51,PINELLAS,12103.0,2000,DEMOCRAT,200630.0,398472
52,POLK,12105.0,2000,REPUBLICAN,90295.0,168607
53,PUTNAM,12107.0,2000,REPUBLICAN,13447.0,26222
54,ST. JOHNS,12109.0,2000,REPUBLICAN,39546.0,60746
55,ST. LUCIE,12111.0,2000,DEMOCRAT,41559.0,77989
56,SANTA ROSA,12113.0,2000,REPUBLICAN,36274.0,50319
57,SARASOTA,12115.0,2000,REPUBLICAN,83100.0,160942
58,SEMINOLE,12117.0,2000,REPUBLICAN,75677.0,137634
59,SUMTER,12119.0,2000,REPUBLICAN,12127.0,22261
60,SUWANNEE,12121.0,2000,REPUBLICAN,8006.0,12473
61,TAYLOR,12123.0,2000,REPUBLICAN,4056.0,6808
62,UNION,12125.0,2000,REPUBLICAN,2332.0,3826
63,VOLUSIA,12127.0,2000,DEMOCRAT,97304.0,183654
64,WAKULLA,12129.0,2000,REPUBLICAN,4512.0,8587
65,WALTON,12131.0,2000,REPUBLICAN,12182.0,18318
66,WASHINGTON,12133.0,2000,REPUBLICAN,4994.0,8029
67,ALACHUA,12001.0,2004,DEMOCRAT,62504.0,111328
68,BAKER,12003.0,2004,REPUBLICAN,7738.0,9955
69,BAY,12005.0,2004,REPUBLICAN,53404.0,75024
70,BRADFORD,12007.0,2004,REPUBLICAN,7557.0,10855
71,BREVARD,12009.0,2004,REPUBLICAN,153068.0,265462
72,BROWARD,12011.0,2004,DEMOCRAT,453873.0,706872
73,CALHOUN,12013.0,2004,REPUBLICAN,3782.0,5963
74,CHARLOTTE,12015.0,2004,REPUBLICAN,44428.0,79786
75,CITRUS,12017.0,2004,REPUBLICAN,39500.0,69467
76,CLAY,12019.0,2004,REPUBLICAN,62078.0,81495
77,COLLIER,12021.0,2004,REPUBLICAN,83631.0,128683
78,COLUMBIA,12023.0,2004,REPUBLICAN,16758.0,24991
79,DESOTO,12027.0,2004,REPUBLICAN,5524.0,9510
80,DIXIE,12029.0,2004,REPUBLICAN,4434.0,6442
81,DUVAL,12031.0,2004,REPUBLICAN,220190.0,381061
82,ESCAMBIA,12033.0,2004,REPUBLICAN,93566.0,143278
83,FLAGLER,12035.0,2004,REPUBLICAN,19633.0,38480
84,FRANKLIN,12037.0,2004,REPUBLICAN,3472.0,5931
85,GADSDEN,12039.0,2004,DEMOCRAT,14629.0,20984
86,GILCHRIST,12041.0,2004,REPUBLICAN,4936.0,7015
87,GLADES,12043.0,2004,REPUBLICAN,2443.0,4188
88,GULF,12045.0,2004,REPUBLICAN,4805.0,7277
89,HAMILTON,12047.0,2004,REPUBLICAN,2792.0,5079
90,HARDEE,12049.0,2004,REPUBLICAN,5049.0,7249
91,HENDRY,12051.0,2004,REPUBLICAN,5757.0,9775
92,HERNANDO,12053.0,2004,REPUBLICAN,42635.0,80547
93,HIGHLANDS,12055.0,2004,REPUBLICAN,25878.0,41496
94,HILLSBOROUGH,12057.0,2004,REPUBLICAN,245576.0,463222
95,HOLMES,12059.0,2004,REPUBLICAN,6412.0,8300
96,INDIAN RIVER,12061.0,2004,REPUBLICAN,36938.0,61414
97,JACKSON,12063.0,2004,REPUBLICAN,12122.0,19807
