County,2006_count,2006_pct,2005_count,2005_pct,2004_count,2004_pct,2003_count,2003_pct,2002_count,2002_pct,2001_count,2001_pct,2000_count,2000_pct,1999_count,1999_pct
Alachua,2424,95.7,2121,91.3,2111,91,2079,93.7,2056,94.3,2013,91.8,2086,93,2133,90.9
Baker,427,96.8,429,97.5,371,98.4,340,97.1,307,95.6,335,98.2,329,90.9,368,90.6
Bay,2230,96.7,2030,94.6,2052,96.4,1849,85.8,1974,95.4,2037,99.1,1996,94.9,1882,89.9
Bradford,349,98.6,344,97.2,311,98.4,267,86.7,284,99,291,99,301,97.4,237,72
Brevard,6369,97.5,6028,97,5955,98.1,5304,93.6,5122,92.3,5132,95.4,5351,96.4,5663,99.7
Broward,20379,91.5,20370,91.3,20654,91.8,20501,93.2,20653,94.2,20575,94.8,19616,93.7,18965,92.1
Calhoun,184,98.9,172,96.1,169,96,179,98.9,157,100,146,100,156,94,161,88.5
Charlotte,1211,99,1103,97.4,1149,95.9,999,86.5,1131,97.8,1036,94.8,1089,92.6,1081,93.4
Citrus,1175,96.3,1173,96.5,1109,97.6,964,89.8,1036,97.6,1074,97.9,983,95.2,995,95.1
Clay,2685,95.2,2517,95.8,2361,95.6,2124,95.6,1948,91.5,1923,94.4,1902,93.6,1941,90.7
Collier,3535,94.3,3345,93.7,3324,93.8,2962,91.7,2734,87.8,2837,94.5,2489,86.8,2333,85.5
Columbia,903,96.1,822,95.6,788,96.6,775,95.9,766,95.3,723,95.8,730,94.8,729,88.9
Miami-Dade,27457,93.3,28515,93.7,28029,92.4,26987,91.7,25189,88.7,27413,92.7,26496,91.9,26660,88.8
DeSoto,424,99.3,404,96.9,376,96.7,325,97,328,99.1,340,99.7,316,98.8,342,94
Dixie,169,93.4,174,98.3,161,93.6,171,97.2,136,95.8,155,98.7,155,98.7,147,88
Duval,11981,91.4,12014,94.6,11804,94.8,11629,96.8,11438,96.8,11389,97.2,10413,90.3,11121,90.7
Escambia,3749,92.9,3756,94.2,3803,97.2,3648,94.7,3575,95.7,3792,97.3,3995,97.6,3935,93
Flagler,841,92.7,771,93.5,641,96.5,576,95.7,504,95.6,482,95.3,394,93.1,376,92.6
Franklin,122,100,124,98.4,100,97.1,100,93.5,107,99.1,104,98.1,111,99.1,123,96.9
Gadsden,540,97.3,565,98.3,544,99.3,580,99.1,549,93.4,472,95.4,571,95.8,604,93.5
Gilchrist,236,98.3,204,91.9,218,95.2,189,97.9,171,92.4,185,98.9,195,96.1,181,88.7
Glades,119,100,123,96.1,78,90.7,72,98.6,82,100,85,100,87,100,87,100
Gulf,146,97.3,161,100,157,100,146,97.3,155,98.7,150,98,171,100,170,96.6
Hamilton,171,89.5,137,94.5,172,97.7,154,99.4,179,99.4,146,98,157,98.7,165,95.9
Hardee,437,97.8,427,98.6,481,95.6,387,94.9,433,94.5,378,99.7,380,98.7,375,98.9
Hendry,623,95.1,613,96.1,633,95,534,86.3,507,92.7,551,97,553,92.8,492,87.4
Hernando,1804,97.6,1596,97.9,1408,90.8,1327,94.2,1317,97.1,1218,95.8,1175,92.2,1193,91.8
Highlands,989,96.6,1020,96.3,956,95,861,90,911,94.8,908,96.7,914,98.4,901,94.4
Hillsborough,16133,95.5,15740,95.2,15115,95,14447,93.2,14265,94.9,14192,92.8,14012,94.1,12704,89.5
Holmes,278,100,245,98.8,229,100,222,89.9,270,98.5,267,99.3,254,94.4,251,96.2
Indian River,1247,90.4,1231,91.3,1243,93,1115,93.5,1140,94.6,1126,96.2,996,90.1,1119,96.2
Jackson,643,97,605,97.1,591,97.2,537,94,556,99.3,541,99.1,538,98.5,504,91
Jefferson,154,98.1,141,91.6,124,96.9,131,94.9,133,99.3,130,97.7,136,85.5,127,83.6
Lafayette,87,97.8,91,98.9,89,98.9,87,96.7,99,100,90,95.7,90,95.7,80,98.8
Lake,3142,93.9,2927,93.9,2764,94.3,2298,91.8,2336,94.9,2277,94.7,2395,93.7,2303,94.5
Lee,6825,96.5,6167,96.1,5569,96.8,5079,91.5,4865,94.4,4726,96.5,4521,95.8,4287,91.4
Leon,2957,94.6,2981,97.6,2993,97.8,2799,96.5,2796,96.9,2809,95.4,2810,96.8,2811,96.4
